Ngày đăng,Loại hình,Diện tích (m²),Giá (tỷ),Giấy tờ pháp lý,Số phòng ngủ,Số phòng vệ sinh,Tình trạng nội thất,Link
30/10/2025,Nhà mặt phố tại đường Phố Trạm,90.0,38.0,Sổ đỏ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pho-tram-phuong-long-bien/ban-co-linh-90m2-6-tang-gia-38-ty-via-he-rong-dac-dia-kinh-doanh-pr43730577
16/10/2025,Nhà mặt phố tại đường Phố Trạm,60.0,19.6,Không rõ,4,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pho-tram-phuong-long-bien/ban-np-19-6-ty-60m2-4pn-5wc-hang-hot-pr43792458
30/10/2025,Nhà mặt phố tại đường Phú Diễn,70.0,25.4,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-dien-phuong-phu-dien/ban-3-thoang-kinh-doanh-sam-uat-noi-khong-voi-quy-hoach-pr42680686
21/10/2025,Nhà mặt phố tại đường Phú Diễn,47.0,12.85,Sổ đỏ/ Sổ hồng,4,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-dien-phuong-phu-dien/ban-gap-tai-kinh-doanh-oto-11ty350-trieu-47m2-4pn-4wc-pr44038613
27/10/2025,Nhà mặt phố tại đường Phú Mỹ,100.0,30.0,Sổ đỏ/ Sổ hồng,3,3,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-my-phuong-my-dinh-1/ban-3-tang-dt100m2-mt6m-gia-30-ty-pr44306558
30/10/2025,Nhà mặt phố tại đường Phúc Diễn,103.0,39.0,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phuc-dien-phuong-phu-dien/ban-dong-tien-cao-quan-bac-tu-liem-pr44412920
16/10/2025,Nhà mặt phố tại đường Phúc Hoa,74.0,24.5,Sổ đỏ/ Sổ hồng,5,5,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phuc-hoa-1-phuong-phu-thuong-1/ban-via-he-rong-oto-tranh-74m-5-tang-5pn-nhinh-24-ty-pr44298522
28/10/2025,Nhà mặt phố tại đường Phúc Lợi,74.0,18.9,Sổ đỏ/ Sổ hồng,4,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phuc-loi-phuong-phuc-loi/ban-long-bien-phan-lo-via-he-o-to-tranh-kinh-doanh-74m2-mt6m-5tang-pr44165049
29/10/2025,Nhà mặt phố tại đường Phùng Khoang,88.0,28.5,Sổ đỏ/ Sổ hồng,4,2,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phung-khoang-phuong-trung-van/chinh-chu-can-ban-88m2-view-ho-cong-vien-cuc-dep-pr44405804
28/10/2025,Nhà mặt phố tại đường Quang Trung,50.0,13.7,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-la-khe/so-huu-mp-phan-dinh-giot-tuyen-kd-sam-uat-bac-t-ha-dong-gia-dau-tu-chi-13-7ty-pr44395265
27/10/2025,Nhà mặt phố tại đường Quang Trung,170.0,23.0,Sổ đỏ/ Sổ hồng,6,6,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-ngo-quyen-4/cuc-hiem-ban-chinh-tam-thi-xa-son-tay-100-met-ra-cho-nghe-di-bo-thanh-co-pr44387434
21/10/2025,Nhà mặt phố tại đường Quang Trung,50.0,10.0,Sổ đỏ/ Sổ hồng,4,4,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-phu-la/ban-tai-ha-dong-dt-50m2-4-tang-o-to-vao-gia-tren-10-ty-pr44334892
28/10/2025,Nhà mặt phố tại đường Quang Trung,55.0,13.8,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-phu-la/chinh-chu-ban-ha-dong-55m-5-tang-via-he-5m-kinh-doanh-cuc-tot-13-8-ty-pr44045187
23/10/2025,Nhà mặt phố tại đường Quang Trung,100.0,30.0,Sổ đỏ/ Sổ hồng,3,3,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/-dau-100m2-mt-5-5m-gia-30ty-ngon-bo-re-hang-hiem-pr44348651
24/10/2025,Nhà mặt phố tại đường Quang Trung,45.0,10.7,Sổ đỏ/ Sổ hồng,4,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/ban-5-tang-thang-may-canh-le-loi-can-goc-oto-do-cua-kinh-doanh-dinh-10ty-nho-lhcc-pr44360858
22/10/2025,Nhà mặt phố tại đường Quang Trung,50.0,24.5,Khác,6,4,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/ban-ha-dong-chinh-chu-dung-ban-pr43261303
30/10/2025,Nhà mặt phố tại đường Quang Trung,46.0,23.0,Sổ đỏ/ Sổ hồng,4,3,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/ban-ha-dong-via-he-5-o-to-tranh-kinh-doanh-46m2-4-tang-23-ty-pr44414069
28/10/2025,Nhà mặt phố tại đường Quang Trung,58.0,13.0,Sổ đỏ/ Sổ hồng,4,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/chinh-chu-ban-ha-dong-kinh-doanh-o-to-tranh-58m2-5-tang-gia-13-ty-pr44398870
20/10/2025,Nhà mặt phố tại đường Quang Trung,75.0,22.7,Sổ đỏ/ Sổ hồng,6,7,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-quang-trung-17/sieu-pham-hiem-2-ly-thuong-kiet-75m-5-tang-thang-may-vi-tri-vang-pr43876429
27/10/2025,Nhà mặt phố tại đường Tam Trinh,110.0,48.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tam-trinh-phuong-yen-so/sieu-hiem-ban-vi-tri-doi-qh-on-dinh-110m2-tien-7-6m-48ty-pr44275617
19/10/2025,Nhà mặt phố tại đường Tân Mai,49.0,20.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tan-mai-phuong-tan-mai-2/ban-phan-lo-49m-ngang-4-2m-tk-7-g-tm-thong-san-view-ho-day-du-cong-nang-tien-ich-pr44317669
30/10/2025,Nhà mặt phố tại đường Tây Sơn,55.0,25.5,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tay-son-phuong-quang-trung/sieu-co-hoi-dau-tu-dong-da-2-tien-voi-dt-55m2-gia-chi-25-5-ty-pr43901609
29/10/2025,Nhà mặt phố tại đường Tây Sơn,53.0,27.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tay-son-phuong-thinh-quang/6t-thang-may-dong-tien-1-1-ty-nam-2-thoang-53m2-mt-4-1m-gia-27-ty-ctl-pr44308069
30/10/2025,Nhà mặt phố tại đường Thanh Bình,84.0,20.2,Sổ đỏ/ Sổ hồng,4,3,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-binh-phuong-mo-lao/-ha-dong-doi-dien-vuon-hoa-via-he-20m-dang-cho-thue-23tr-thang-pr44413245
24/10/2025,Nhà mặt phố tại đường Thanh Bình,32.0,12.4,Sổ đỏ,6,6,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-binh-phuong-mo-lao/ban-lien-he-minh-px9-sdt-pr44363741
27/10/2025,Nhà mặt phố tại đường Thanh Lân,140.0,35.0,Sổ đỏ/ Sổ hồng,6,6,Không nội thất,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-lan-phuong-thanh-tri/chinh-chu-can-ban-so-86-hoang-mai-ha-noi-pr44033190
29/10/2025,Nhà mặt phố tại đường Thành Trung,90.0,39.0,Sổ đỏ/ Sổ hồng,6,6,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thanh-trung-thi-tran-trau-quy/90m2-kinh-doanh-truong-ton-hoan-thien-full-dong-tien-tot-gia-39ty-hang-hiem-pr44402363
24/10/2025,Nhà mặt phố tại đường Thượng Thanh,35.0,6.45,Không rõ,5,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuong-thanh-phuong-thuong-thanh-1/sieu-pham-long-bien-4-tang-moi-dep-o-to-do-cua-gia-chi-6-45-ty-pr44367781
30/10/2025,Nhà mặt phố tại đường Thụy Khuê,52.0,21.5,Sổ đỏ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuy-khue-phuong-buoi/ban-52m-x5tang-tien-5m-no-hau-5-2m-lo-goc-gia-18-5-ty-dong-tien-40tr-pr40336098
25/10/2025,Nhà mặt phố tại đường Thụy Khuê,70.0,32.0,Sổ đỏ/ Sổ hồng,5,6,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuy-khue-phuong-thuy-khue/-doan-dep-nhat-gan-lang-bac-via-he-70m2-2-thoang-5-tang-san-o-cho-tm-32-ty-pr43639095
30/10/2025,Nhà mặt phố tại đường Thụy Khuê,66.0,47.0,Sổ đỏ/ Sổ hồng,7,10,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuy-khue-phuong-thuy-khue/ban-tay-ho-66m2-x-9t-mt-6m-via-he-thang-may-gan-van-cao-pr44414349
30/10/2025,Nhà mặt phố tại đường Thụy Khuê,35.0,16.5,Sổ đỏ/ Sổ hồng,3,3,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-thuy-khue-phuong-thuy-khue/can-goc-4t-vi-tri-dep-mp-via-he-rong-kd-sam-uat-dt-35m-mt-3-5m-vai-buoc-ra-ho-tay-pr44252735
29/10/2025,Nhà mặt phố tại đường Tỉnh lộ 312,158.0,10.8,Khác,5,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tinh-lo-312-xa-tam-dong/ban-sieu-biet-thu-dep-nhu-tranh-ve-me-linh-ha-noi-kinh-doanh-dinh-noi-that-nhap-khau-pr44409942
30/10/2025,Nhà mặt phố tại đường Tô Hiệu,66.0,28.0,Sổ đỏ/ Sổ hồng,4,4,Không nội thất,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-hieu-phuong-quang-trung-17/-co-ha-dong-vi-tri-cuc-dep-kinh-doanh-giao-thuong-buon-ban-nhon-nhip-ngay-dem-pr44414488
27/10/2025,Nhà mặt phố tại đường Tô Vĩnh Diện,113.0,61.0,Sổ đỏ/ Sổ hồng,6,10,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-vinh-dien-phuong-khuong-trung/-tap-doan-cong-ty-van-ng-vip-pr43858896
30/10/2025,Nhà mặt phố tại đường Tô Vĩnh Diện,43.0,18.9,Sổ đỏ/ Sổ hồng,4,6,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-vinh-dien-phuong-khuong-trung/ban-hoa-hau-khu-quan-doi-via-he-kinh-doanh-o-tranh-o-cho-thang-may-pr44413672
30/10/2025,Nhà mặt phố tại đường Trần Đăng Ninh,50.0,16.99,Sổ đỏ/ Sổ hồng,5,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-dang-ninh-phuong-quang-trung-17/50m-6-tang-mt-5m-mp-hang-hiem-phan-lo-via-he-o-to-kinh-doanh-pr44411391
23/10/2025,Nhà mặt phố tại đường Trần Khát Chân,50.0,21.5,Sổ đỏ/ Sổ hồng,5,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-khat-chan-phuong-pho-hue/ban-50m-6-tang-lo-goc-3-thoang-gia-21-5-ty-pr43994893
27/10/2025,Nhà mặt phố tại đường Trâu Quỳ,60.0,13.8,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trau-quy-thi-tran-trau-quy/-kinh-doanh-60m2-dang-cho-thue-gia-13-8-ty-lh-pr44022049
21/10/2025,Nhà mặt phố tại đường Trích Sài,60.6,65.0,Sổ đỏ/ Sổ hồng,4,4,Khác,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trich-sai-phuong-thuy-khue/ban-5t-thang-may-can-goc-vi-tri-dac-dia-t-mp-ho-tay-dt-60m-mt-6m-gia-60-ty-pr39378819
16/10/2025,Nhà mặt phố tại đường Trích Sài,85.0,65.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trich-sai-phuong-thuy-khue/ban-65-ty-85m2-7-tang-thang-may-view-toan-ho-tay-dep-pr44094343
30/10/2025,Nhà mặt phố tại đường Trịnh Đình Cửu,73.0,28.3,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trinh-dinh-cuu-phuong-dinh-cong/can-ban-toa-9tang-2-thoang-gia-chi-28-3ty-pr43735136
21/10/2025,Nhà mặt phố tại đường Trịnh Văn Bô,110.0,28.2,Sổ đỏ/ Sổ hồng,5,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trinh-van-bo-phuong-phuong-canh/ban-110m2-2-thoang-via-he-to-rong-kinh-doanh-da-nganh-gia-dau-tu-mem-pr43585819
29/10/2025,Nhà mặt phố tại đường Trịnh Văn Bô,100.0,35.0,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trinh-van-bo-phuong-phuong-canh/ban-toa-phuc-hop-mbkd-phong-chdv-tai-100m2-xay-dung-x-8-tang-ham-gia-35ty-pr44408602
30/10/2025,Nhà mặt phố tại đường Trịnh Văn Bô,110.0,28.2,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trinh-van-bo-phuong-phuong-canh/hang-hiem-gia-trong-ngo-110m-x-5-tang-pr43424647
30/10/2025,Nhà mặt phố tại đường Trung Phụng,86.0,49.0,Sổ đỏ/ Sổ hồng,4,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-phung-phuong-phuong-lien-trung-tu/ban-86m2-x-7-tang-thang-may-noi-that-day-du-lam-van-ng-giu-tien-de-o-pr43914269
30/10/2025,Nhà mặt phố tại đường Trung Văn,100.0,30.5,Khác,6,6,Khác,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-van-phuong-trung-van/ban-5-tang-dep-via-he-rong-kinh-doanh-pr42184863
21/10/2025,Nhà mặt phố tại đường Trung Văn,140.0,37.5,Sổ đỏ,5,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-van-phuong-trung-van/ban-kinh-doanh-140m-gia-tot-t-thi-truong-pr43648865
25/10/2025,Nhà mặt phố tại đường Trung Yên 11,107.0,51.0,Sổ đỏ/ Sổ hồng,6,9,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-yen-11-phuong-yen-hoa-2/toa-van-phong-kdtm-q-cau-giay-dt-107m2-x-9t-mt-lon-7-7-m-gia-51-ty-pr44372134
25/10/2025,Nhà mặt phố tại đường Trung Yên,99.0,54.5,Sổ đỏ/ Sổ hồng,6,6,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-yen-phuong-trung-hoa-4/building-phan-lo-cau-giay-1-ham-6-noi-99m-tien-7-5-gia-54-5-ty-pr44068265
29/10/2025,Nhà mặt phố tại đường Trường Chinh,58.57,50.0,Sổ đỏ/ Sổ hồng,4,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-mai/chu-thien-chi-giam-manh-sieu-pham-toa-o-cuc-dep-gia-sieu-hap-dan-pr44410702
29/10/2025,Nhà mặt phố tại đường Trường Chinh,60.0,50.0,Sổ đỏ/ Sổ hồng,5,7,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-thuong/-quan-dong-da-can-goc-8-tang-be-the-mt-8m-via-he-da-bong-kinh-doanh-vo-dich-5x-ty-pr44398085
30/10/2025,Nhà mặt phố tại đường Trường Chinh,54.0,29.8,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-thuong/ban-sieu-pham-nga-tu-so-vi-tri-dac-dia-lo-goc-tien-quyen-luc-11m-pr44412363
30/10/2025,Nhà mặt phố tại đường Trường Chinh,108.0,58.0,Sổ đỏ/ Sổ hồng,8,8,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-thuong/cuc-pham-537tr-m2-dong-da-toa-van-ng-8tang-doan-dep-nhat-via-he-da-bong-pr44136409
27/10/2025,Nhà mặt phố tại đường Trường Chinh,94.0,38.1,Sổ đỏ,4,5,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-trung/sieu-pham-94m2-5t-mt-4m-gia-38-1-ty-thanh-xuan-ha-noi-vi-tri-dep-kd-pr44382423
20/10/2025,Nhà mặt phố tại đường Trường Chinh,52.0,23.6,Sổ đỏ,10,5,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-phuong-liet/ban-5tang-10pn-5wc-lo-goc-dang-cho-thue-ng-kham-hop-dong-lau-dai-gia-re-52m2-23-6ty-pr44324066
30/10/2025,Nhà mặt phố tại đường Trường Chinh,59.0,52.0,Sổ đỏ,2,8,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-phuong-mai/lo-goc-vang-8-tang-thang-may-tien-khung-8m-chi-52-ty-pr44149659
15/10/2025,Nhà mặt phố tại đường Trương Công Giai,100.0,66.9,Sổ đỏ/ Sổ hồng,5,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-cong-giai-phuong-dich-vong-hau/-cau-giay-100m2-7t-mt6m-66-ty-pr44285821
17/10/2025,Nhà mặt phố tại đường Trương Công Giai,100.0,66.0,Sổ đỏ/ Sổ hồng,8,7,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-cong-giai-phuong-dich-vong/ban-tho-thap-cau-giay-dt-100m2-8-tang-pr44301968
21/10/2025,Nhà mặt phố tại đường Trương Định,74.0,16.5,Sổ đỏ/ Sổ hồng,2,2,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-dinh-phuong-thinh-liet/-74-m2-x-2-tang-kd-buon-ban-sam-uat-cho-thue-20tr-thang-gia-16-5ty-pr44238171
24/10/2025,Nhà mặt phố tại đường Tứ Hiệp,100.0,25.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tu-hiep-xa-tu-hiep/-thanh-tri-via-he-da-bong-kinh-doanh-sam-uat-ngay-dem-pr44365690
25/10/2025,Nhà mặt phố tại đường Vạn Bảo,71.0,26.0,Sổ đỏ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-bao-phuong-lieu-giai/ban-2-thoang-via-he-rong-dt-71m2-28-ty-pr41603341
24/10/2025,Nhà mặt phố tại đường Văn Cao,105.0,0.6,Sổ đỏ/ Sổ hồng,6,10,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-cao-phuong-lieu-giai/-sieu-hiem-sieu-dep-chi-600-tr-m2-ban-105m-chi-81-ty-pr44360489
19/10/2025,Nhà mặt phố tại đường Văn Cao,95.0,65.0,Sổ đỏ/ Sổ hồng,4,4,Khác,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-cao-phuong-lieu-giai/can-vi-tri-g-mp-via-he-6m-42m-kd-sam-uat-gan-ho-tay-gia-65-ty-pr43557692
23/10/2025,Nhà mặt phố tại đường Vân Đồn,92.0,26.5,Sổ đỏ/ Sổ hồng,4,4,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-don-phuong-bach-dang/ban-hai-ba-trung-92m-lo-goc-via-he-da-bong-26-5-ty-pr44353160
20/10/2025,Nhà mặt phố tại đường Vân Đồn,90.0,25.8,Sổ đỏ/ Sổ hồng,3,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-don-phuong-bach-dang/ban-hai-ba-trung-ha-noi-90m2-pr44323703
15/10/2025,Nhà mặt phố tại Khu đô thị mới Văn Phú,100.0,39.5,Sổ đỏ/ Sổ hồng,10,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-khe-phuong-phu-la-prj-khu-do-thi-moi-van-phu/ban-gap-tai-kdt-40-ty-100m2-10pn-5wc-pr44177171
18/10/2025,Nhà mặt phố tại đường Văn Quán,63.0,17.95,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-quan-phuong-van-quan/ban-gap-lo-goc-ha-dong-63m-mt18m-kinh-doanh-sam-uat-pr44312100
30/10/2025,Nhà mặt phố tại đường Vĩnh Hưng,60.0,18.85,Sổ đỏ/ Sổ hồng,4,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vinh-hung-phuong-vinh-hung-2/-60m2-6-tang-thang-may-qh-tuong-lai-thanh-2-mp-pr44259584
30/10/2025,Nhà mặt phố tại đường Vĩnh Hưng,60.0,16.9,Sổ đỏ/ Sổ hồng,6,7,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vinh-hung-phuong-vinh-hung-2/ban-60m-x-5-tang-tien-4m-thang-may-kd-dinh-pr44411438
26/10/2025,Nhà mặt phố tại đường Vĩnh Hưng,80.0,21.5,Không rõ,7,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vinh-hung-phuong-vinh-hung-2/sieu-hiem-o-to-tranh-80m2x3t-lo-goc-dac-dia-chi-hon-21ty-pr44380326
29/10/2025,Nhà mặt phố tại đường Vũ Đức Thận,64.0,34.8,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vu-duc-than-phuong-bo-de/hiem-64m2-tien-7m-kinh-doanh-cuc-dinh-pr44410573
27/10/2025,Nhà mặt phố tại đường Vũ Đức Thuận,96.0,30.0,Sổ đỏ/ Sổ hồng,5,5,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vu-duc-thuan-phuong-viet-hung-2/ban-96m2-40-ty-tai-long-bien-ha-noi-pr44072357
23/10/2025,Nhà mặt phố tại đường Vũ Phạm Hàm,80.0,35.5,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-vu-pham-ham-phuong-yen-hoa-2/building-80m-x-9-tang-thang-may-co-gia-34-5-ty-pr43895197
24/10/2025,Nhà mặt phố tại đường Xuân Đỉnh,54.0,17.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-dinh-phuong-xuan-dinh/chinh-chu-ban-lo-goc-2-thoang-vinh-vien-gia-chi-17-ty-pr44369321
17/10/2025,Nhà mặt phố tại đường Xuân La,120.0,63.0,Sổ đỏ/ Sổ hồng,6,6,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-la-phuong-xuan-la/ban-120m2-x-6-tang-thang-may-lo-goc-via-he-10m-mt-5m-63-ty-vip-tay-ho-pr43760905
30/10/2025,Nhà mặt phố tại đường Xuân Phương,163.0,55.0,Sổ đỏ/ Sổ hồng,8,8,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-phuong-phuong-xuan-phuong/mp-nam-tu-liem-163m-8t-hien-dai-pccc-tieu-chuan-2-tien-gia-5x-ty-pr44413439
25/10/2025,Nhà mặt phố tại đường Xuân Quỳnh,88.0,42.0,Sổ đỏ/ Sổ hồng,5,4,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-quynh-phuong-yen-hoa-2/lien-ke-q-cau-giay-dtsd-88m2-7-tang-gia-42-ty-pr44371309
21/10/2025,Nhà mặt phố tại đường Yên Lãng,64.0,29.7,Sổ đỏ/ Sổ hồng,5,4,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-lang-phuong-lang-ha/-kinh-doanh-dinh-pr44333821
17/10/2025,Nhà mặt phố tại đường Yên Lãng,81.0,31.0,Sổ đỏ/ Sổ hồng,2,2,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-lang-phuong-thinh-quang/hot-ban-dat-tang-dong-da-dien-tich-81m-x-2-tang-gia-31-ty-pr44309503
28/10/2025,Nhà mặt phố tại đường Yên Lộ,51.4,0.29,Không rõ,5,4,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-lo-phuong-yen-nghia-1/ban-quy-can-cuoi-cung-cua-ha-dong-pr44274588
16/10/2025,Nhà mặt phố tại đường Yên Xá,35.0,10.6,Sổ đỏ/ Sổ hồng,3,3,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-xa-xa-tan-trieu/ban-sieu-vip-gia10-6ty-dt-35m2-5tang-phan-lo-ban-co-o-to-tai-tranh-u-pr44290925
30/10/2025,Nhà mặt phố tại phố An Trạch,62.0,32.0,Sổ đỏ/ Sổ hồng,4,5,Cơ bản,https://batdongsan.com.vn/ban-nha-mat-pho-pho-an-trach-phuong-cat-linh/-trung-tam-dong-da-hai-tien-dep-vi-tri-dep-t-kd-dinh-pr44411156
30/10/2025,Nhà mặt phố tại phố Bạch Mai,98.0,42.0,Sổ đỏ/ Sổ hồng,5,4,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-bach-mai-phuong-bach-mai/chinh-chu-ban-quan-hai-ba-trung-pr41361372
26/10/2025,Nhà mặt phố tại phố Bạch Mai,130.0,48.0,Sổ đỏ/ Sổ hồng,4,4,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-bach-mai-phuong-bach-mai/sieu-pham-hai-ba-trung-130m-5-tang-mt-9m-thang-may-gia-48-ty-pr43628076
28/10/2025,Nhà mặt phố tại phố Báo Khánh,15.0,16.0,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-bao-khanh-phuong-hang-trong/ban-nguyen-can-tien-cach-ho-guom-100m-dt-15m2-gia-chi-6-ty-pr44396631
17/10/2025,Nhà mặt phố tại phố Cảm Hội,42.1,18.5,Sổ đỏ/ Sổ hồng,6,5,Đầy đủ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-cam-hoi-phuong-dong-nhan/sieu-re-ban-lo-duc-50m2-mt-4m-kinh-doanh-sam-uat-gia-dau-tu-cuc-hiem-pr43593941
29/10/2025,Nhà mặt phố tại phố Cầu Cốc,60.0,18.5,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-cau-coc-phuong-tay-mo/ban-60m2-kinh-doanh-dinh-o-suong-pr44404402
30/10/2025,Nhà mặt phố tại phố Chính Kinh,80.0,37.9,Sổ đỏ/ Sổ hồng,1,10,Không rõ,https://batdongsan.com.vn/ban-nha-mat-pho-pho-chinh-kinh-phuong-nhan-chinh/ban-dat-lo-goc-no-hau-da-co-gpxd-6-tang-thang-may-vi-tri-doanh-vang-pr44411450
